Source,Target,Type
A1042185,广告摄影,发布
B1042185,广告摄影,完成
A1042186,VR效果图,发布
B1042186,VR效果图,完成
A1042190,产品视频,发布
B1042190,产品视频,完成
A1042191,视频定制,发布
B1042191,视频定制,完成
A1042192,创意短视频,发布
B1042192,创意短视频,完成
A1042193,抖音视频,发布
B1042193,抖音视频,完成
A1042194,短视频营销,发布
B1042194,短视频营销,完成
A1042196,抖音代运营,发布
B1042196,抖音代运营,完成
A1042200,剪辑服务,发布
B1042200,剪辑服务,完成
A1042201,专题片制作,发布
B1042201,专题片制作,完成
A1042202,VR/AR/MR,发布
B1042202,VR/AR/MR,完成
A1042242,3D视频,发布
B1042242,3D视频,完成
A1042278,文学创作,发布
B1042278,文学创作,完成
A1042350,商业提案,发布
B1042350,商业提案,完成
A1042422,手机网站,发布
B1042422,手机网站,完成
A1042633,画册设计,发布
B1042633,画册设计,完成
A1042673,小程序开发,发布
B1042673,小程序开发,完成
A1042685,动画制作,发布
B1042685,动画制作,完成
A1042687,产品视频,发布
B1042687,产品视频,完成
A1042701,淘宝视频,发布
B1042701,淘宝视频,完成
A1042702,3D效果图,发布
B1042702,3D效果图,完成
A1042703,直播卖货,发布
B1042703,直播卖货,完成
A1042704,其他短视频,发布
B1042704,其他短视频,完成
A1042705,PS修图,发布
B1042705,PS修图,完成
A1042707,创意短视频,发布
B1042707,创意短视频,完成
A1042708,创意短视频,发布
B1042708,创意短视频,完成
A1042711,专题片制作,发布
B1042711,专题片制作,完成
A1042722,广告片/MV,发布
B1042722,广告片/MV,完成
A1042839,LOGO设计,发布
B1042839,LOGO设计,完成
A1043222,抖音视频,发布
B1043222,抖音视频,完成
A1043224,抖音视频,发布
B1043224,抖音视频,完成
A1043229,淘宝视频,发布
B1043229,淘宝视频,完成
A1043230,其他短视频,发布
B1043230,其他短视频,完成
A1043231,3D效果图,发布
B1043231,3D效果图,完成
A1043232,直播卖货,发布
B1043232,直播卖货,完成
A1043236,PS修图,发布
B1043236,PS修图,完成
A1043240,三维动画,发布
B1043240,三维动画,完成
