需求方,设计师,任务编号,能力标签,交易价格,发布时间
shirley115,七寸心文化传播,任务编号：341180,LOGO设计,1000.0,2015-03-27
o532fa4eebeeda,华客创意品牌设计,任务编号：340646,宣传册设计,1000.0,2015-03-25
Lily_7,墨典工业设计有限公司,任务编号：339985,产品外观设计,1000.0,2015-03-23
玛拉糖,福玖创意,任务编号：339395,服装设计,3000.0,2015-03-20
mf136****7888,迦美设计,任务编号：339276,海报设计,1000.0,2015-03-20
tcbci,web前端div+css+js  移动h5+css3+专业网页设计,任务编号：339005,VI设计,100.0,2015-03-19
o5497bb0fe7c43,寒思设计,任务编号：338676,LOGO设计,150.0,2015-03-18
happy88804,燃道设计工作室,任务编号：338637,LOGO设计,200.0,2015-03-18
大钱商务,寒思设计,任务编号：338094,LOGO设计,688.0,2015-03-16
Mr133****0454,心语设计,任务编号：337626,3D建模,2250.0,2015-03-15
Mr158****7812,迦美设计,任务编号：336898,LOGO设计,300.0,2015-03-12
时光里的忧桑,韦达（视觉）自动化工作室,任务编号：336656,3D建模,500.0,2015-03-11
m_0648pxptyw,玖方广告,任务编号：336145,名片设计,150.0,2015-03-09
o54c9a78ce2964,安可喵设计工作室,任务编号：335985,店铺装修,2000.0,2015-03-07
雪梦2014,华客创意品牌设计,任务编号：335091,LOGO设计,1000.0,2015-03-03
o54f47b1e1306b,1985设计工作室,任务编号：334983,LOGO设计,500.0,2015-03-02
zengzhimo,美森品牌设计,任务编号：334476,VI设计,3800.0,2015-02-28
青枫树下,nion数字动漫,任务编号：334314,3D建模,700.0,2015-02-27
tcbci,网林科技,任务编号：334084,封面设计,100.0,2015-02-26
o54d8f3f6a8cd4,伯乐视策,任务编号：333170,LOGO设计,400.0,2015-02-12
超超传媒,福玖创意,任务编号：332479,LOGO设计,1000.0,2015-02-08
mf151****7176,小玉设计工作室,任务编号：331909,名片设计,100.0,2015-02-04
BCIzhongguo,福玖创意,任务编号：330717,LOGO设计,500.0,2015-01-29
o54c9a78ce2964,安可喵设计工作室,任务编号：330679,店铺装修,2800.0,2015-01-29
hackbear,亥伯龙神,任务编号：330575,3D建模,1000.0,2015-01-28
mf135****2333,想象佳创意设计,任务编号：330061,包装设计,7000.0,2015-01-26
精科创科技,安可喵设计工作室,任务编号：329294,海报设计,300.0,2015-01-22
eag1e5,成都陆加叁品牌策划机构,任务编号：328743,LOGO设计,500.0,2015-01-19
fjbb,锐视企划,任务编号：328523,LOGO设计,1000.0,2015-01-17
伊贻堂面膜,影子文化,任务编号：328135,宣传册设计,300.0,2015-01-16
mf133****1707,厦门欧可邦-网站定制开发,任务编号：327841,宣传册设计,1000.0,2015-01-14
小溪逆流,logo之窗-品牌策划,任务编号：327127,LOGO设计,300.0,2015-01-10
ucdesign,银鲨艺术工坊,任务编号：326815,海报设计,1000.0,2015-01-09
Kellylin,银河创意设计中心,任务编号：326568,动漫其他,500.0,2015-01-07
Susie邓,中顺联创品牌设计,任务编号：326320,宣传册设计,1000.0,2015-01-07
mf136****8528,万泰金融微盘开发,任务编号：326022,店铺装修,900.0,2015-01-05
shangshantechan,尼彩品牌设计,任务编号：325816,包装设计,4000.0,2015-01-04
杭州启步信息科技,尚居墅设计有限公司™,任务编号：325843,LOGO设计,100.0,2015-01-05
蚊子22,金麦设计机构,任务编号：325626,LOGO设计,500.0,2015-01-03
